FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1
Moussa,Sissoko,MID,TOT,6600000,1,43,0.387387387,5.87E-08,6.52E-06,0,14151,3,5,0,0,0,0,0,6.5,0,-4,0,43,4,0,0,0,0,0,4,0,3,0.1,13286,0,0,0,0,909,0,0,0,162,
Islam,Slimani,FWD,LEI,8200000,5,83,0.747747748,9.12E-08,1.01E-05,0,156110,1,23,0,0,0,7,0,10.1,0,-3,0,83,3,0,0,0,9,0,5,0,4,0.6,157519,0,0,0,1,1281,0,0,0,271,
Chris,Smalling,DEF,MUN,5800000,0,52,0.468468468,8.08E-08,8.97E-06,0,62370,0,16,0,0,0,1,0,9,0,-2,0,52,2,0,0,0,1,0,4,0,1,1.1,29061,0,381,0,0,1217,0,0,0,282,
Adam,Smith,DEF,BOU,4600000,2,104,2.9,6.30E-07,2.26E-05,0,532703,6,61,0,0,0,1,0,22.6,0,1,0,104,-1,0,0,0,12,0,8,0,5,7,700992,1,297,0,1,3101,0,0,0,645,
Bradley,Smith,DEF,BOU,3900000,0,4,0.036036036,9.24E-09,1.03E-06,0,169802,1,9,0,0,0,0,0,1,0,-1,0,4,1,0,0,0,0,0,0,0,0,2.5,89956,0,35,0,0,269,0,0,0,35,
Robert,Snodgrass,MID,WHU,5500000,2,133,3.8,6.91E-07,2.42E-05,0,1069575,2,56,0,0,0,7,0,24.2,0,0,0,133,0,0,0,0,16,0,3,0,6,6.3,1225580,0,0,0,2,2548,0,0,0,503,
Ramadan,Sobhi,MID,STK,4800000,2,36,0.324324324,6.76E-08,7.50E-06,0,49755,2,11,0,0,0,0,0,7.5,0,-7,0,36,7,0,0,0,1,0,5,0,2,0.5,28148,0,0,0,0,855,0,0,0,151,
Dominic,Solanke,FWD,CHE,5000000,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,0,0,0,0,0,0,0,0,0,
Heung-Min,Son,MID,TOT,7200000,5,174,5.1,7.08E-07,2.42E-05,0,1013071,2,18,0,0,0,14,0,24.2,0,-3,0,174,3,0,0,0,13,0,10,0,9,11,1431312,0,244,0,4,2063,0,0,0,512,
Pape,Souare,DEF,CRY,4100000,0,6,2,4.88E-07,1.46E-06,0,54103,0,3,0,0,0,0,0,1.5,0,-4,0,6,4,0,0,0,0,0,0,0,0,0.2,20773,0,354,0,0,270,0,0,0,37,
