FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS
Bartosz,Kapustka,MID,LEI,5200000,0,0,0,0,0,0,5026,0,0,0,0,0,0,0,0,135,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,357,0,0,0,0,0,6,0,0,0
Loris,Karius,GLK,LIV,4900000,6,10,0.416666667,8.50E-08,2.04E-06,0,7765,0,2,0,3,0,0,0,2,721,-1,0,10,1,0.7,0,3.3,0,0,1,0,0,0.9,24754,0,0,0,0,270,6359,0,0,42
Michael,Keane,DEF,BUR,4900000,1,28,3.5,7.14E-07,5.71E-06,0,22664,1,12,0,0,0,1,0,5.7,3725,-1,0,28,1,1.2,0,5.7,2,0,2,0,0,2.1,55937,0,0,0,1,720,5441,0,0,150
Will,Keane,FWD,HUL,4500000,2,3,0.125,2.78E-08,6.67E-07,0,6199,0,7,0,0,0,0,0,0.7,804,0,0,3,0,0.2,0,0.7,0,0,0,0,0,0.3,13754,0,0,0,0,111,2660,0,0,6
Martin,Kelly,DEF,CRY,4400000,1,13,1.9,4.32E-07,2.95E-06,0,12974,0,6,0,0,0,0,0,3,1903,-1,0,13,1,0.3,0,1.3,0,0,0,0,1,0.9,31735,0,96,0,0,393,1275,0,0,62
,Kenedy,MID,WAT,5200000,0,1,0.041666667,8.01E-09,1.92E-07,0,1741,0,0,0,0,0,0,0,0.2,109,-3,1,1,3,0.1,0,0.3,0,0,0,0,0,0,1073,0,86,0,0,16,12,-1,0,2
Wahbi,Khazri,MID,SUN,6200000,2,7,0.291666667,4.70E-08,1.13E-06,0,9797,0,7,0,0,0,0,0,1.1,199,-3,0,7,3,0.2,0,1.3,0,0,0,0,0,0.2,569,0,172,0,0,251,14,0,0,23
,Ki Sung-yueng,MID,SWA,5200000,1,9,0.375,7.21E-08,1.73E-06,0,3237,0,7,0,0,0,0,0,1.7,152,-3,0,9,3,0.2,0,1,0,0,0,0,0,0.1,708,0,241,0,0,276,59,0,0,42
Michael,Kightly,MID,BUR,4300000,1,2,0.083333333,1.94E-08,4.65E-07,0,6874,0,0,0,0,0,0,0,0.5,770,-2,0,2,2,0.2,0,0.7,0,0,0,0,0,0.3,7104,0,0,0,0,22,447,0,0,7
Andy,King,MID,LEI,4800000,1,6,0.25,5.21E-08,1.25E-06,0,9383,0,3,0,0,0,0,0,1.3,618,-2,0,6,2,0.1,0,0.7,0,0,0,0,0,0.2,2481,0,174,0,0,179,49,0,0,25
Joshua,King,MID,BOU,5400000,4,28,4,7.41E-07,5.19E-06,0,31777,0,10,0,0,0,2,0,5.2,2979,-1,0,28,1,0.6,0,3.3,2,0,1,0,1,0.8,32267,0,321,0,0,491,1031,0,0,101
Stephen,Kingsley,DEF,SWA,4100000,0,12,2.4,5.85E-07,2.93E-06,0,173478,0,6,0,0,0,0,0,2.9,21306,1,0,12,-1,0,0,0,2,0,1,0,0,12,414960,0,75,0,1,405,7395,0,0,75
Jan,Kirchhoff,MID,SUN,4500000,0,6,0.25,5.56E-08,1.33E-06,0,2107,1,8,0,0,0,0,0,1.3,194,0,0,6,0,0.2,0,0.7,0,0,0,0,0,0,658,0,118,0,0,298,5,0,0,38
Ragnar,Klavan,DEF,LIV,4800000,0,4,1.3,2.71E-07,8.33E-07,0,33084,0,6,0,0,0,0,0,0.8,1332,-2,1,4,2,0.1,0,0.7,0,0,0,0,0,0.6,7681,0,0,0,0,270,170,-1,0,53
Aleksandar,Kolarov,DEF,MCI,5900000,0,12,1.7,2.88E-07,2.03E-06,0,93972,2,6,0,0,0,0,0,2,10877,-1,0,12,1,0,0,0,0,0,1,0,0,3.9,33718,1,429,0,0,572,897,0,0,94
Vincent,Kompany,DEF,MCI,5900000,1,1,0.041666667,7.06E-09,1.69E-07,0,12216,0,0,0,0,0,0,0,0.2,172,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.4,2045,0,173,0,0,1,622,0,0,3
Arouna,Kone,FWD,EVE,5200000,0,3,0.125,2.40E-08,5.77E-07,0,54043,0,0,0,0,0,0,0,0.6,1895,-3,0,3,3,0,0,0,0,0,0,0,0,1,11181,0,289,0,0,46,457,0,0,9
Lamine,Kone,DEF,SUN,4400000,0,9,1.5,3.41E-07,2.05E-06,0,55621,0,11,0,0,0,0,0,2,4409,-1,1,9,1,0.2,0,1,0,0,0,0,0,1.3,13084,0,176,0,0,540,136,-1,0,74
Dimitrios,Konstantopoulos,GLK,MID,4300000,0,0,0,0,0,0,4485,0,0,0,0,0,0,0,0,188,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,345,0,0,0,0,0,19,0,0,0
Laurent,Koscielny,DEF,ARS,6300000,1,43,6.1,9.68E-07,6.83E-06,0,76786,0,5,0,0,0,2,0,6.9,8660,3,-1,43,-3,1.2,0,7.3,6,0,3,0,0,16.3,451347,0,493,0,2,630,99979,1,0,193
