FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Shaun,Maloney,MID,HUL,4300000,0,18,0.214285714285714,4.98338870431894E-08,4.18604651162791E-06,0,88897,0,5,0,0,0,1,0,4.2,367,-2,0,18,2,0.2,0,1,2,0,1,0,1,0.6,90050,0,0,0,1,217,64,0,0,64,Everton,West Ham,Middlesbrough,Man City,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Steve,Mandanda,GLK,CRY,4200000,0,19,0.226190476190476,5.38548752834467E-08,4.52380952380952E-06,0,138289,0,17,0,24,0,0,0,4.5,467,-3,0,19,3,0,0,0,0,0,0,0,0,2,43261,0,0,0,0,810,35,0,0,120,Watford,Chelsea,Southampton,Arsenal,Leicester,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sadio,Mane,MID,LIV,9700000,2,149,6,6.18556701030928E-07,1.5360824742268E-05,0,1427969,3,24,0,0,0,12,0,15.4,88419,7,0,149,-7,0.6,0,5.7,14,0,8,0,7,23.7,1814308,0,635,0,4,2096,24844,0,0,469,Man City,Everton,Bournemouth,Stoke,West Brom,5.3,8.1,7.8,5.7,5.4,7.4,6.9,7.8,4.9,8.5
Eliaquim,Mangala,DEF,MCI,5400000,0,0,0,0,0,0,20786,0,0,0,0,0,0,0,0,25,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,1056,0,235,0,0,0,11,0,0,0,Liverpool,Arsenal,Chelsea,Hull City,Southampton,0,0,0,0,0,0,0,0,0,0
Alexander,Manninger,GLK,LIV,4000000,0,0,0,0,0,0,8145,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0.4,10695,0,0,0,0,0,46,0,0,0,Man City,Everton,Bournemouth,Stoke,West Brom,0,0,0,0,0,0,0,0,0,0
Vito,Mannone,GLK,SUN,4200000,0,34,0.404761904761905,9.63718820861678E-08,8.09523809523809E-06,0,47683,0,19,0,41,0,0,0,7.9,1168,-3,1,34,3,0,0,0,6,0,2,0,0,0.7,32020,0,210,0,1,810,65,-1,0,187,Burnley,Watford,Leicester,Man Utd,West Ham,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2
Javier,Manquillo,DEF,SUN,4300000,0,19,0.226190476190476,5.26024363233666E-08,4.41860465116279E-06,0,2405,2,13,0,0,0,0,0,4.4,11,-2,0,19,2,0.1,0,0.5,0,0,1,0,0,0,2554,0,0,0,0,759,17,0,0,91,Burnley,Watford,Leicester,Man Utd,West Ham,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
,Marc Wilson,DEF,WBA,3900000,0,0,0,0,0,0,84287,0,0,0,0,0,0,0,0,1340,-1,0,0,1,0,0,0,0,0,0,0,0,2.3,105066,0,14,0,0,0,1677,0,0,0,Arsenal,Man Utd,Watford,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0
Adrian,Mariappa,DEF,WAT,4000000,0,0,0,0,0,0,16755,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0.3,22581,0,0,0,0,0,46,0,0,0,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0,0,0,0,0,0,0,0,0,0
Lazar,Markovic,MID,HUL,5300000,2,8,0.0952380952380952,1.79694519317161E-08,1.50943396226415E-06,0,8714,2,4,0,0,0,0,0,1.5,2013,-2,1,8,2,0.2,0,1.3,0,0,2,0,0,0.2,11855,0,0,0,0,331,142,-1,0,33,Everton,West Ham,Middlesbrough,Man City,Stoke,0,0,0,0,0,0,0,0,0,0
