FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Adam,Matthews,DEF,SUN,4000000,0,0,0,0,0,0,1396,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,4,0,0,0,3,0,0,0,Man City,Burnley,Watford,Leicester,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
Alfie,Mawson,DEF,SWA,4600000,1,53,3.5,7.60869565217391E-07,1.15217391304348E-05,0,5997,0,32,0,0,0,3,0,11.8,1979,1,-1,53,-1,1.2,0,5.7,7,0,3,0,0,1.6,70506,1,0,0,2,1350,30993,1,0,325,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,4.4,3.6,3.9,4,4.4,4.4,3,4.5,2.9,3.9,2.9,4.6
Dieumerci,Mbokani,FWD,HUL,5400000,2,25,0.320512820512821,5.93542260208927E-08,4.62962962962963E-06,0,7718,0,15,0,0,0,0,0,4.6,131,-1,0,25,1,0.1,0,0.7,0,0,3,0,2,0,8071,0,0,0,0,745,102,0,0,38,Leicester,Swansea,Everton,West Ham,Middlesbrough,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
James,McArthur,MID,CRY,4800000,0,77,3.7,7.70833333333333E-07,1.60416666666667E-05,0,173971,5,31,0,0,0,5,0,16,5196,-2,0,77,2,0.3,0,1.3,8,0,2,0,2,1.5,222556,0,282,0,1,1658,2285,0,0,301,West Brom,Watford,Chelsea,Southampton,Arsenal,2.9,0,4.6,2.5,3,2.7,4.7,2.1,4.8,2.8,4.7,3.5
Gareth,McAuley,DEF,WBA,5200000,10,108,4.2,8.07692307692308E-07,2.07692307692308E-05,0,531009,4,32,0,0,0,6,0,20.8,4662,7,-1,108,-7,1.6,0,8.3,12,0,5,0,1,32.1,1398253,1,339,0,4,2340,53810,1,0,438,Crystal Palace,Everton,Arsenal,Man Utd,Watford,5.7,3.6,6.1,3.4,3.6,6,6.3,4.1,5.2,3.2,5.4,4.3
Oliver,McBurnie,FWD,SWA,4500000,0,4,0.0512820512820513,1.13960113960114E-08,8.88888888888889E-07,0,5383,0,2,0,0,0,0,0,0.9,68,0,0,4,0,0,0,0,0,0,0,0,0,0.1,6452,0,0,0,0,66,131,0,0,14,Burnley,Hull City,Bournemouth,Middlesbrough,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0
Alex,McCarthy,GLK,SOU,4300000,0,0,0,0,0,0,5698,0,0,0,0,0,0,0,0,42,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,737,0,82,0,0,0,8,0,0,0,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0
James,McCarthy,MID,EVE,4800000,1,22,0.282051282051282,5.87606837606838E-08,4.58333333333333E-06,0,13743,2,9,0,0,0,1,0,4.6,473,-2,0,22,2,0.8,0,3.7,0,0,0,0,1,0.2,6504,0,365,0,0,586,167,0,0,91,Tottenham,West Brom,Hull City,Liverpool,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,McClean,MID,WBA,4900000,0,37,0.474358974358974,9.68079539508111E-08,7.55102040816327E-06,0,13106,6,15,0,0,0,1,0,7.6,107,-1,0,37,1,0.1,0,0.3,1,0,2,0,2,0.1,9500,0,336,0,0,898,45,0,0,158,Crystal Palace,Everton,Arsenal,Man Utd,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Luke,McGee,GLK,TOT,4000000,0,0,0,0,0,0,3087,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3155,0,0,0,0,0,24,0,0,0,Everton,Southampton,Burnley,Swansea,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Allan,McGregor,GLK,HUL,4400000,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,2,0,0,0,Leicester,Swansea,Everton,West Ham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0
Callum,McManaman,MID,WBA,4300000,0,0,0,0,0,0,8564,0,0,0,0,0,0,0,0,72,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,4308,0,27,0,0,0,10,0,0,0,Crystal Palace,Everton,Arsenal,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,McNair,DEF,SUN,4200000,0,12,0.153846153846154,3.66300366300366E-08,2.85714285714286E-06,0,15213,0,9,0,0,0,0,0,2.9,72,-3,0,12,3,0,0,0,0,0,1,0,0,0.2,4882,1,28,0,0,353,22,0,0,58,Man City,Burnley,Watford,Leicester,Man Utd,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sam,McQueen,MID,SOU,4200000,0,19,0.243589743589744,5.7997557997558E-08,4.52380952380952E-06,0,5120,0,8,0,0,0,0,0,4.5,284,-3,0,19,3,0,0,0,0,0,1,0,1,0.1,8161,0,0,0,0,495,718,0,0,112,Watford,Tottenham,Bournemouth,Crystal Palace,West Brom,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ben,Mee,DEF,BUR,4700000,2,72,2.8,5.95744680851064E-07,1.53191489361702E-05,0,79338,3,37,0,0,0,1,0,15.3,6503,2,0,72,-2,0.4,0,1.7,2,0,6,0,2,3.7,206161,1,0,0,0,2340,2702,0,0,446,Swansea,Liverpool,Sunderland,Tottenham,Stoke,1.9,2.3,1.4,3.6,3.7,1.7,1.5,2.5,2.3,3.8,2.1,4
Nampalys,Mendy,MID,LEI,4400000,0,6,0.0769230769230769,1.74825174825175E-08,1.36363636363636E-06,0,30748,1,5,0,0,0,0,0,1.4,96,-1,0,6,1,0,0,0,0,0,1,0,0,0.3,3584,0,0,0,0,269,46,0,0,26,Hull City,West Ham,Stoke,Sunderland,Everton,0,0,0,0,0,0,0,0,0,0,0,0
Per,Mertesacker,DEF,ARS,4800000,0,0,0,0,0,0,5311,0,0,0,0,0,0,0,0,47,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1487,0,265,0,0,0,60,0,0,0,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
